Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 114.0.0.0,,,2023-07-13 13:03:23,2023-07-13 13:03:53,29.985s,FAILED
,,,,,,,
Test Cases/Logging/Login Passed,Chrome 114.0.0.0,,,2023-07-13 13:03:23,2023-07-13 13:03:42,19.027s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-13 13:03:23,2023-07-13 13:03:26,2.123s,PASSED
"navigateToUrl(""http://192.168.8.33:7003/cbs9/login.html"")",Chrome 114.0.0.0,,,2023-07-13 13:03:26,2023-07-13 13:03:26,0.864s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-13 13:03:26,2023-07-13 13:03:27,0.161s,PASSED
"click(findTestObject(""Page_Silverlake Symmetri CBS9/input_Faysal Bank Limited_j_username""))",Chrome 114.0.0.0,,,2023-07-13 13:03:27,2023-07-13 13:03:27,0.570s,PASSED
"setText(findTestObject(""Object Repository/Page_Silverlake Symmetri CBS9/input_Faysal Bank Limited_j_username""), ""cbs.user1"")",Chrome 114.0.0.0,,,2023-07-13 13:03:27,2023-07-13 13:03:28,0.783s,PASSED
"click(findTestObject(""Page_Silverlake Symmetri CBS9/input_Username_j_password""))",Chrome 114.0.0.0,,,2023-07-13 13:03:28,2023-07-13 13:03:28,0.355s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Silverlake Symmetri CBS9/input_Username_j_password""), ""Go4mjZEPWYNpMeH1G75+Qw=="")",Chrome 114.0.0.0,,,2023-07-13 13:03:28,2023-07-13 13:03:29,0.525s,PASSED
"click(findTestObject(""Object Repository/Page_Silverlake Symmetri CBS9/span_Login""))",Chrome 114.0.0.0,,,2023-07-13 13:03:29,2023-07-13 13:03:41,11.774s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_Cbs/p_Start Serving Customers""), 60)",Chrome 114.0.0.0,,,2023-07-13 13:03:41,2023-07-13 13:03:41,0.577s,PASSED
"click(findTestObject(""Object Repository/Page_Cbs/p_Start Serving Customers""))",Chrome 114.0.0.0,,,2023-07-13 13:03:41,2023-07-13 13:03:42,0.381s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-07-13 13:03:42,2023-07-13 13:03:42,0.675s,PASSED
,,,,,,,
Test Cases/Logging/Login Failed,Chrome 114.0.0.0,,,2023-07-13 13:03:42,2023-07-13 13:03:48,5.403s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-13 13:03:42,2023-07-13 13:03:44,1.128s,PASSED
"navigateToUrl(""http://192.168.8.33:7003/cbs9/login.html"")",Chrome 114.0.0.0,,,2023-07-13 13:03:44,2023-07-13 13:03:44,0.571s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-13 13:03:44,2023-07-13 13:03:44,0.137s,PASSED
"click(findTestObject(""Object Repository/Page_Silverlake Symmetri CBS9/input_Faysal Bank Limited_j_username""))",Chrome 114.0.0.0,,,2023-07-13 13:03:44,2023-07-13 13:03:45,0.470s,PASSED
"setText(findTestObject(""Object Repository/Page_Silverlake Symmetri CBS9/input_Faysal Bank Limited_j_username""), ""cbs.user1"")",Chrome 114.0.0.0,,,2023-07-13 13:03:45,2023-07-13 13:03:46,0.758s,PASSED
"click(findTestObject(""Object Repository/Page_Silverlake Symmetri CBS9/input_Username_j_password""))",Chrome 114.0.0.0,,,2023-07-13 13:03:46,2023-07-13 13:03:46,0.342s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Silverlake Symmetri CBS9/input_Username_j_password""), ""5zEOG9P+0xVVVXi82UQ77cTu98lJn33i"")",Chrome 114.0.0.0,,,2023-07-13 13:03:46,2023-07-13 13:03:46,0.575s,PASSED
"waitForElementVisible(findTestObject(""Page_Silverlake Symmetri CBS9/button_Login""), 20)",Chrome 114.0.0.0,,,2023-07-13 13:03:46,2023-07-13 13:03:47,0.334s,PASSED
"click(findTestObject(""Object Repository/Page_Silverlake Symmetri CBS9/button_Login""))",Chrome 114.0.0.0,,,2023-07-13 13:03:47,2023-07-13 13:03:47,0.421s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Silverlake Symmetri CBS9/p_Invalid Credentials""), ""Invalid Credentials!"")",Chrome 114.0.0.0,,,2023-07-13 13:03:47,2023-07-13 13:03:48,0.485s,PASSED
,,,,,,,
Test Cases/Logging/Login Element Not Found,Chrome 114.0.0.0,,,2023-07-13 13:03:48,2023-07-13 13:03:53,5.344s,FAILED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-13 13:03:48,2023-07-13 13:03:50,1.783s,PASSED
"navigateToUrl(""http://192.168.8.33:7003/cbs9/login.html"")",Chrome 114.0.0.0,,,2023-07-13 13:03:50,2023-07-13 13:03:50,0.542s,PASSED
